cell_class	channel_combo	plate	well
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	5	A2
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	5	A2
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	5	A2
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	3	B1
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	3	B1
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	3	B1
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	1	A3
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	1	A3
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	1	A3
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	4	B2
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	4	B2
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	4	B2
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7	A1
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7	A1
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7	A1
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7	B3
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7	B3
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	7	B3
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8	B2
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8	B2
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8	B2
Interphase	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8	A2
Mitotic	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8	A2
all	DAPI_TUBULIN_GH2AX_PHALLOIDIN	8	A2
