sample_fp	plate	well	round	channel
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA2_ChannelA594_1x1_Seq0003.nd2	6	A2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA2_ChannelAF750_1x1_Seq0002.nd2	6	A2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA2_ChannelDAPI_1x1-GFP_1x1_Seq0013.nd2	6	A2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_2/20200213_100130_580/WellA2_ChannelGFP_1x1_Seq0001.nd2	6	A2	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA3_ChannelA594_1x1_Seq0005.nd2	6	A3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA3_ChannelAF750_1x1_Seq0004.nd2	6	A3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellA3_ChannelDAPI_1x1-GFP_1x1_Seq0014.nd2	6	A3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_2/20200213_100130_580/WellA3_ChannelGFP_1x1_Seq0002.nd2	6	A3	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB1_ChannelA594_1x1_Seq0011.nd2	6	B1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB1_ChannelAF750_1x1_Seq0010.nd2	6	B1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB1_ChannelDAPI_1x1-GFP_1x1_Seq0017.nd2	6	B1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_2/20200213_100130_580/WellB1_ChannelGFP_1x1_Seq0005.nd2	6	B1	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB2_ChannelA594_1x1_Seq0009.nd2	6	B2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB2_ChannelAF750_1x1_Seq0008.nd2	6	B2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB2_ChannelDAPI_1x1-GFP_1x1_Seq0016.nd2	6	B2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_2/20200213_100130_580/WellB2_ChannelGFP_1x1_Seq0004.nd2	6	B2	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB3_ChannelA594_1x1_Seq0007.nd2	6	B3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB3_ChannelAF750_1x1_Seq0006.nd2	6	B3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_1/20200204_181610_308/WellB3_ChannelDAPI_1x1-GFP_1x1_Seq0015.nd2	6	B3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_6/round_2/20200213_100130_580/WellB3_ChannelGFP_1x1_Seq0003.nd2	6	B3	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_7/round_1/20200209_211557_735/WellA1_ChannelA594_1x1_Seq0001.nd2	7	A1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_7/round_1/20200209_211557_735/WellA1_ChannelAF750_1x1_Seq0000.nd2	7	A1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_7/round_1/20200209_211557_735/WellA1_ChannelDAPI_1x1-GFP_1x1_Seq0012.nd2	7	A1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_7/round_2/20200216_075438_166/WellA1_ChannelGFP_1x1_Seq0000.nd2	7	A1	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_7/round_1/20200209_211557_735/WellA2_ChannelA594_1x1_Seq0003.nd2	7	A2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_7/round_1/20200209_211557_735/WellA2_ChannelAF750_1x1_Seq0002.nd2	7	A2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_7/round_1/20200209_211557_735/WellA2_ChannelDAPI_1x1-GFP_1x1_Seq0013.nd2	7	A2	1	DAPI_1x1-GFP_1x1
